weibo_id,user_name,publish_time,cleaned_text
5247753823194530,喜欢娱乐喜欢美食,Thu Dec 25 14:51:13 +0800 2025,西贝预制菜风波100天后贾国龙现状的相关内容，来智搜看看预制菜强制明示 西贝预制菜风波100天后贾国龙现状 人要诚信。有预制菜就是承认。预制菜强制公示，是大众所望。预制菜价格占现炒菜价格的25%到50%（预制菜4级标注）
5247753828961443,策划人毛庆海,Thu Dec 25 14:51:14 +0800 2025,西贝预制菜风波100天后贾国龙现状预制菜风波后贾国龙靠吃安眠药入睡2025年12月21日，冬至当天，南方周末记者在西贝北京研发中心见到了贾国龙。距离他上一次公开发声，整整过去了100天。 贾国龙称骄傲让他对很多事产生误判（南方周末）↓↓↓极目新闻的微博视频
5247753949283950,ID_韩潮,Thu Dec 25 14:51:43 +0800 2025,“连续40天靠安眠药入睡”，这话更像情绪表演，而不是医学事实。 不是说人不能失眠，而是这种说法本身就经不起推敲。 真正连续服用安眠药40天的人，大概率会出现耐药、反跳性失眠、白天迟钝，很难再保持高频公开发声、密集决策、持续输出观点。 要么是医学常识被忽略，要么是夸张表达，要么干脆只是一个用来证明“我很难、我很拼”的叙事道具。 问题不在睡没睡着，而在于，当一个商业领袖开始用极端个人痛苦来证明自己正确，而不是用清晰数据和长期方案说话，那已经是信号了。 企业需要的是冷静、稳定、明智的判断，不是靠“我有多难熬”来支撑信心。 如果连睡眠都要靠故事加成，那这个商业帝国，可能真要睡过去了。 预制菜风波后贾国龙靠吃安眠药入睡 西贝预制菜风波100天后贾国龙现状
5247754067510806,上海西郊豪宅,Thu Dec 25 14:52:11 +0800 2025,贾国龙首次回应西贝预制菜风波避重就轻，混淆视听！所有的回应都在回避你用不健康、不营养、不便宜的预制菜欺骗消费者的事实！
5247754141959530,追剧观山海,Thu Dec 25 14:52:29 +0800 2025,西贝预制菜风波100天后贾国龙现状不如继续保持沉默
5247754165289526,挖水井的贞子,Thu Dec 25 14:52:33 +0800 2025,"西贝预制菜风波100天后贾国龙现状确实是预制菜,认错也是应该的. 但我们打工的,就不去考虑人家老板现状了,还是多考虑下自己一日三餐比较实际."
5247754244196879,大脑门杨怼怼,Thu Dec 25 14:52:53 +0800 2025,贾国龙首次回应西贝预制菜风波希望越改越好小问题及时纠正中式快餐需要更规范的发展
5247754331750838,石家庄地铁君,Thu Dec 25 14:53:14 +0800 2025,【西贝预制菜风波100天后贾国龙现状预制菜风波后贾国龙靠吃安眠药入睡贾国龙称骄傲让他对很多事产生误判】2025年12月21日，冬至当天，南方周末记者在西贝北京研发中心见到了贾国龙。距离他上一次公开发声，整整过去了100天。这位西贝创始人说，自己连续40天靠吃安眠药入睡，每天有“处理不完的事”，憋了一肚子的心里话。
5247754348797776,吉瓦吉瓦蚌,Thu Dec 25 14:53:18 +0800 2025,西贝预制菜风波100天后贾国龙现状 企业做这么大不容易，最应该的是把嘴巴闭上，最近都不要公开露面好好管理公司
5247754529670645,潘金莲飞翔宇宙,Thu Dec 25 14:54:01 +0800 2025,西贝预制菜风波100天后贾国龙现状这就叫人教人教不会，事教人一教就会
5247754553262630,爱吃玉米的果冻猫,Thu Dec 25 14:54:07 +0800 2025,西贝预制菜风波100天后贾国龙现状他到底在委屈啥啊，主要原因还是你这预制菜卖的太贵
5247754599139014,喜欢娱乐喜欢美食,Thu Dec 25 14:54:18 +0800 2025,西贝预制菜风波100天后贾国龙现状🌸预制菜强制明示 100天。包括40天失眠。撒谎的代价。还硬抗。现在说道歉。亡羊补牢，为时不晚
5247754704257751,思维奔逸,Thu Dec 25 14:54:43 +0800 2025,终于服软了，时隔三个月，贾国龙对媒体表示：如果再选择一次，坚决不硬刚，未来不能再独断专行。他透露，“现在西贝的客单价是75元左右，较之前降了20%，已降价的菜品不会再涨价，同时如果西贝活不下来，以后不再创业，会和夫人回草原养羊。”预制菜风波后贾国龙靠吃安眠药入睡
5247754797844008,沐静儿,Thu Dec 25 14:55:05 +0800 2025,西贝预制菜风波100天后贾国龙现状 西贝预制菜风波已过百日，创始人贾国龙的现状早已跳出单纯的舆论漩涡，成为一场关于品牌与消费者关系的深度实践。 从最初硬刚质疑、深陷“2年保质期西兰花”等信任危机，到如今三度认错、坦言“连续40天靠安眠药入睡”，贾国龙的转变本质是放下行业标准执念，正视公众认知的清醒转身。 百日之间，贾国龙带领西贝交出了实打实的整改答卷：10余道菜品回归门店现制，30余道菜品降价近20%，客单价从92元降至75元且承诺不反弹，全国门店落实“阳光厨房”直播，八十余次政府检查零处罚印证食安底线。 更难得的是，风波中不降薪反而给一线员工涨薪500元，收缩扩张欲望深耕300余家门店，展现了企业责任与经营理性。 这场危机让贾国龙明白，连锁餐饮的根基从不是规模神话，而是消费者的信任体感。他放弃“少人化”旧思路，转向“多用人、用好⼈”的家庭欢乐餐厅新模式，既是对争议的回应，也是对行业趋势的预判。 今天的贾国龙，少了意气之争，多了躬身倾听的沉稳。对于西贝而言，风波不是终点，唯有将“耐心听顾客意见”真正融入经营肌理，才能让降价、现制等举措不止于危机公关，真正实现品牌信任的重建与长效增长。秒懂热点就用智搜
5247754809901105,待爆顶流预备员,Thu Dec 25 14:55:07 +0800 2025,西贝预制菜风波100天后贾国龙现状又出来卖惨了……什么时候都是风波过后卖卖惨就有人同情他了……谁来同情一下老百姓辛辛苦苦赚的钱想吃点健康的结果是预制菜……
5247754938879356,吃怡口芋圆,Thu Dec 25 14:55:39 +0800 2025,预制菜风波后贾国龙靠吃安眠药入睡2025年9月，罗永浩公开质疑西贝使用预制菜且价格虚高，引发品牌危机。贾国龙称此次风波是西贝成立37年来&quot;最大外部危机&quot;，导致他连续40天依赖安眠药助眠，且每日需处理大量突发事务，身心承受巨大压力。
5247755003627170,十年一芯,Thu Dec 25 14:55:54 +0800 2025,西贝预制菜风波100天后贾国龙现状最根本错误就是你和到店消费的顾客刚什么啊！消费者有吐槽的权利，又没说不付饭钱
5247755027221170,聚一路散一路,Thu Dec 25 14:56:00 +0800 2025,西贝预制菜风波100天后贾国龙现状【西贝事件后续】总结就一句话，餐饮透明化已成大势所趋，消费者要的不是完美，而是知情权。上海一路上海一路微博中长视频扶持计划一分钟视频创作季…… 聚一路散一路的微博视频
5247755035608640,老梁不郁闷,Thu Dec 25 14:56:02 +0800 2025,西贝预制菜风波100天后贾国龙现状看了一下，到底也没有承认用预制菜，道歉也不包括罗永浩
5247755136271481,小禾尖尖Log,Thu Dec 25 14:56:26 +0800 2025,他错就错在了“硬刚”！在商场做餐饮有预制菜太正常不过了，非要嘴硬说自己“没有一道预制菜”……与其证明自己不是预制菜，不如证明预制菜也是可以干净健康的。西贝预制菜风波100天后贾国龙现状
5247755167727960,Dr_金子善,Thu Dec 25 14:56:32 +0800 2025,西贝预制菜风波100天后贾国龙现状不得不说，西贝的脑袋是真硬，扛住了风波，还又赚了一波流量与知名度你就是天天骂西贝，依然会有自来水排队送钱就该人家发财，你有啥办法呢？反正爱谁吃谁吃，我是不吃！૮₍ꐦ -᷅ ⤙ -᷄ ₎ა 张家口·世纪饭店
5247755169828737,健识局,Thu Dec 25 14:56:34 +0800 2025,预制菜风波后贾国龙靠吃安眠药入睡 在2025年“西贝预制菜”的舆情风波中，西贝创始人贾国龙受到持续的媒体关注和舆论压力。根据南方周末等多家媒体的报道，贾国龙在接受采访时透露，自己在事件后连续40天依赖安眠药才能入睡。 压力引发的失眠绝非 “单纯睡不着”，而是会触发全身健康的 “多米诺骨牌效应”。长期失眠会导致认知功能下降，注意力涣散、记忆力衰退，还会让焦虑、抑郁的发病风险激增，形成 “压力→失眠→情绪恶化” 的恶性循环。从生理层面看，失眠会削弱免疫系统活性，使身体对抗病毒的能力下降，同时扰乱心血管系统节律，增加高血压、心肌梗死的风险，还可能引发代谢紊乱，导致激素失衡、消化功能失调等问题。（健识局 李木子）
5247755368011483,林云雅客,Thu Dec 25 14:57:21 +0800 2025,西贝预制菜风波100天后贾国龙现状贾总这是吃一堑长一智，自我总结认知错误。在经历预制菜舆论风暴100天后，西贝创始人贾国龙首次打破沉默，以连续40天依赖安眠药入睡的憔悴状态直面公众，坦言“骄傲导致误判”，并向顾客、员工及自己道歉。
5247755468414290,又开始了是吧D,Thu Dec 25 14:57:45 +0800 2025,西贝预制菜风波100天后贾国龙现状其实不如沉默，说多错多。谁没有工作堆积，出现睡眠问题的时候呢。 西贝预制菜风波100天后贾国龙现状
5247755666853155,唐辰同学Link,Thu Dec 25 14:58:32 +0800 2025,贾国龙首次回应西贝预制菜风波贾国龙沉默100天，再次面对媒体时，姿态放低很多，并对外认错。他觉得自己犯了几个重大错误： 第一个错误是选择正面硬刚，说我宁愿不做生意，也要辨明是非，一定要起诉罗永浩； 第二个错误是开放厨房； 第三个错误是我在一个微信群聊里发言，回应同行关心，用了“网络黑社会”的说法。 归根结底，都是因为冲动。还有一个更大的错误，是我长期忽视了顾客的声音。 从中，还是能看到老家内心的一丝不服气。但这种情绪，相对于面对公众的态度来说，已经不那么重要。接下来，西贝公关的工作也会好做很多。 有一点不太认同的是，硬刚老罗并不算什么错。对自家产品和商业模式的信心，是必要的。 真要挑毛病，还是老贾没控制住情绪，自己持枪就冲上来了，把所有的缓冲空间都挤爆了。
5247755796613550,颁奖者长寿,Thu Dec 25 14:59:03 +0800 2025,西贝预制菜风波100天后贾国龙现状吃40天安眠药都不死，他就这么想活着吗
5247756083921066,灯火入眉弯sum,Thu Dec 25 15:00:11 +0800 2025,西贝预制菜风波100天后贾国龙现状不要打什么“感情牌”咯，说得我们这些🐮🐴就没有因为工作失眠过似的既要又要的，说来说去不还是没有正面回答预制菜这个事情…
5247756118790125,数码小樱,Thu Dec 25 15:00:20 +0800 2025,西贝预制菜风波100天后贾国龙现状我都快忘记西贝这回事了，结果老板又上热搜了，其实我觉得最大的问题是一个身居高位的老板他处理的事太多了，身边的人给出的信息太单一，所以一件很简单的舆情事件会搞的那么复杂
